Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2020-05-25,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-26,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-28,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-29,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-06-01,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-06-02,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-06-03,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-06-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-06-26,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
